codigo;nombre;categoria;unidad;formula_costo;esp_costo_unit;esp_costo_prod;fila_excel
M1;Cera alto pf;MATERIAL;gr;=3905*2/1000;7.81;7.81;5
M2;Cera bajo pf;MATERIAL;;=7500/1000;7.5;7.5;6
M3;Colorante;MATERIAL;ml;=1700/10;170;170;7
M4;Escencia;MATERIAL;ml;=6000*1.25/50;150;150;8
M5;Pabilo;MATERIAL;unid.;=1000/10;100;100;9
M6;Aceite de Coco;MATERIAL;unid.;;18000;18000;10
M7;Yeso;MATERIAL;kg;=18000*3/40;1350;1350;11
M8;Barniz al agua;MATERIAL;ml;=CEILING(3200/15,5);215;215;12
A1;Flores decoracion;ACCESORIO;unid.;;200;200;25
A2;Tarjeta decoracion;ACCESORIO;unid.;=CEILING(450*3/3.5*1.28,10);500;500;26
A3;Cinta;ACCESORIO;unid.;=765/5*0.3;45.9;45.9;27
A4;Tarjeta presentacion;ACCESORIO;unid.;;150;150;28
A5;Dije Cruz Dorada;ACCESORIO;unid.;=6500/68;95.58823529411765;95.58823529411765;29
E1;Bolsa organza 25x30;EMPAQUE;unid.;=CEILING(23000/25,10);920;920;32
E2;Bolsa organza 15x20;EMPAQUE;unid.;=CEILING(13000/25,10);520;520;33
E3;Caja con visor corazon;EMPAQUE;unid.;;500;500;34
E4;Bolsa celofan 10x20;EMPAQUE;unid.;=1200/10*1.5;180;180;35
E5;Tul;EMPAQUE;unid.;=CEILING(30000/(10*1)*(0.5*0.6),10);900;900;36
E6;Caja exagonal;EMPAQUE;unid.;;;2000;37
E7;Bolsa gruesa;EMPAQUE;unid.;=7300/24;304.1666666666667;1500;38
E8;Bolsa plastico 15X20;EMPAQUE;unid.;=CEILING(20000/50,10);400;400;39
E9;Mini Cajas;EMPAQUE;unid.;=CEILING(49000/60,10);820;820;40
E10;Bolsa organza 9x12;EMPAQUE;unid.;;250;250;41
E11;Bolsa organza 9x12 comunion;EMPAQUE;unid.;=9000/20;450;450;42
E12;Bolsa organza 17x23;EMPAQUE;unid.;=CEILING(13000/25,10);520;520;43
MO;Mano de obra;MANO_DE_OBRA;hs;;7000;7000;51
