codigo;nombre;categoria;fila_excel;recipiente_costo;hereda_costo_de;cera_alto_g;cera_bajo_g;pabilo_u;recipiente_u;yeso_g;mo_min;esp_materiales;esp_subtotal;esp_costo_prod;esp_precio
V1;Pino chico;VELAS;4;0;;82;0;0.5;0;0;45;2553.533333333333;7803.533333333333;8400;11340
V2;Pino grande;VELAS;5;0;;179;0;0.75;0;0;62.999999999999986;5531.766666666666;12881.766666666665;13800;18630
V3;Margaritas;VELAS;6;0;;20;0;0.15;0;0;20;626.2966666666666;2959.63;3200;4320
V4;Estrella;VELAS;7;0;;55;0;0.2;0;0;30;1695.9233333333334;5195.923333333333;5600;7560.000000000001
V5;Rosa;VELAS;8;0;;40;0;1;0;0;30;1339.5333333333333;4839.533333333333;5200;7020.000000000001
V6;Sagrada Familia;VELAS;9;0;;136;0;0.5;0;0;45;4194.233333333334;9444.233333333334;10200;13770
V7;Flor Loto;VELAS;10;0;;71;0;0.25;0;0;30;2188.266666666667;5688.266666666666;6100;8235
V8;Velon Mediano;VELAS;11;0;;265;0;0.75;0;0;45;8144.733333333333;13394.733333333334;14400;19440
V9;Velon Pequeño;VELAS;12;0;;110;0;0.5;0;0;45;3404.266666666667;8654.266666666666;9300;12555
V10;Vela Alhajero;VELAS;13;0;;0;100;0.15;1;0;30;2956.9633333333336;6456.963333333333;7000;9450
V11;Corazon Rosa;VELAS;14;0;;44;0;1;0;0;30;1461.0666666666668;4961.066666666667;5400;7290.000000000001
V12;Corazon texturizado Grande;VELAS;15;0;;84;0;1;0;0;30;2676.4000000000005;6176.400000000001;6700;9045
V13;Corazon texturizado Chico;VELAS;16;0;;26;0;0.5;0;0;30;852.0666666666668;4352.066666666667;4700;6345
V14;Oso;VELAS;17;0;;73;0;1;0;0;30;2342.1833333333334;5842.183333333333;6300;8505
V15;Flor Peiona Mediana;VELAS;18;0;;40;0;1;0;0;30;1339.5333333333333;4839.533333333333;5200;7020.000000000001
V16;Flor Peiona x 3;VELAS;19;0;;45;0;1;0;0;45;1491.45;6741.45;7300;9855
V17;Flor Tulipan;VELAS;20;0;;26;0;0.5;0;0;20;852.0666666666668;3185.4000000000005;3500;4725
V18;Flor peiona individual;VELAS;21;0;;15;0;0.5;0;0;20;517.85;2851.1833333333334;3100;4185
V19;Conejo;VELAS;22;0;;95;0;1;0;0;30;3010.6166666666663;6510.616666666667;7000;9450
V20;Angel grande;VELAS;23;0;;85;0;1;0;0;30;2706.7833333333333;6206.783333333333;6700;9045
V21;Angel chico;VELAS;24;0;;53;0;1;0;0;30;1734.5166666666669;5234.516666666666;5700;7695.000000000001
V22;Rosa grande;VELAS;25;0;;87;0;0.2;0;0;30;2668.1900000000005;6168.1900000000005;6600;8910
V23;Ramo de flores;VELAS;26;0;;110;0;1.5;0;0;45;3528.4666666666667;8778.466666666667;9400;12690
V24;Buda;VELAS;27;0;;60;0;1.5;0;0;30;2009.3;5509.3;5900;7965.000000000001
V25;Mariposa;VELAS;28;0;;55;0;1.5;0;0;30;1857.3833333333334;5357.383333333333;5800;7830.000000000001
V26;Virgencita;VELAS;29;0;;45;0;1.5;0;0;30;1553.55;5053.55;5500;7425.000000000001
V27;Angel grande suvenir;VELAS;30;0;;85;0;1;0;0;20;2706.7833333333333;5040.116666666667;5400;7290.000000000001
V28;Angel chico suvenir;VELAS;31;0;;53;0;1;0;0;20;1734.5166666666669;4067.8500000000004;4400;5940
V29;Flor peiona individual eventos;VELAS;32;0;;17;0;1;0;0;20;640.7166666666668;2974.05;3200;4320
V30;Flor peiona grande;VELAS;33;0;;88;0;2;0;0;30;2922.1333333333337;6422.133333333333;6900;9315
V31;Arcoiris;VELAS;34;0;;75;0;1;0;0;30;2402.9500000000003;5902.950000000001;6400;8640
R1;Vaso grande vidrio;RECIPIENTES;43;1100;;0;0;0;1;0;0;1100;1100;1200;1620
R2;Vaso Chico vidrio;RECIPIENTES;44;1000;;0;0;0;1;0;0;1000;1000;1100;1485
R3;Portavela vidrio;RECIPIENTES;45;10000;;0;0;0;1;0;0;10000;10000;10700;14445.000000000002
R4;Cuenco ceramico chico;RECIPIENTES;46;2200;;0;40;1;1;0;20;3499.5333333333333;5832.866666666667;6300;8505
R5;Cuenco ceramico mediano;RECIPIENTES;47;2600;;0;60;1;1;0;30;4487.2;7987.2;8600;11610
R6;Cuenco estrella;RECIPIENTES;48;4500;;0;60;1;1;0;30;6387.2;9887.2;10600;14310.000000000002
R7;Bandeja yeso con borde;RECIPIENTES;49;1400;;0;0;0;1;0;0;1400;1400;1500;2025.0000000000002
R8;Alhajero de yeso;RECIPIENTES;50;660;;0;42;1;1;0;30;2018.3000000000002;5518.3;6000;8100.000000000001
R9;Piscina de yeso;RECIPIENTES;51;1600;;0;0;0;1;0;0;1600;1600;1800;2430
R10;Vaso grande labrado;RECIPIENTES;52;1600;;0;110;1;1;0;30;4956.366666666667;8456.366666666667;9100;12285
R11;Vaso Chico vela;RECIPIENTES;53;1400;;0;55;1;1;0;25;3140.2833333333333;6056.95;6500;8775
R12;Bandeja oval grande;RECIPIENTES;54;0;;0;0;0;0;250;30;337.5;3837.5;4200;5670
R13;Bandeja oval mediana;RECIPIENTES;55;1200;;0;0;0;1;0;0;1200;1200;1300;1755.0000000000002
R14;Tapa Alhajero;RECIPIENTES;56;200;;0;0;0;1;0;0;200;200;300;405
R15;Alhajero;RECIPIENTES;57;700;;0;0;0;1;0;0;700;700;800;1080
R16;Cono;RECIPIENTES;58;1000;;0;0;0;1;0;0;1000;1000;1100;1485
R17;Bandeja exagonal;RECIPIENTES;59;0;;0;0;0;0;80;15;108;1858;2000;2700
R18;Bandeja exagonal cera;RECIPIENTES;60;2000;R17;0;20;0;1;0;10;2587.6666666666665;3754.333333333333;4100;5535
R19;Bandeja oval mediana cera;RECIPIENTES;61;1200;R13;0;20;0;1;0;10;1787.6666666666667;2954.3333333333335;3200;4320
R20;Bandeja corazon;RECIPIENTES;62;1400;;0;0;0;1;0;0;1400;1400;1500;2025.0000000000002
R21;Caramelera chica con tapa;RECIPIENTES;63;4000;;0;50;1;1;0;30;5593.366666666667;9093.366666666667;9800;13230
R22;Frasco vidrio corazon;RECIPIENTES;64;3000;;0;100;1;1;0;30;6062.533333333333;9562.533333333333;10300;13905.000000000002
R23;Frasco vidrio 1;RECIPIENTES;65;1100;;0;145;1;1;0;30;5484.783333333333;8984.783333333333;9700;13095
R24;Frasco vidrio 2;RECIPIENTES;66;1000;;0;100;1;1;0;30;4062.5333333333333;7562.533333333333;8100;10935
R25;Frasco vidrio 3;RECIPIENTES;67;1200;;0;125;1;1;0;30;4997.116666666667;8497.116666666667;9100;12285
R26;Cuenco yeso 1;RECIPIENTES;68;1250;;0;150;1;1;0;30;5781.7;9281.7;10000;13500
R27;Caramelera mini;RECIPIENTES;69;2600;;0;40;1;1;0;30;3899.5333333333333;7399.533333333333;8000;10800
R28;Caramelera labrada con tapa;RECIPIENTES;70;5000;;0;80;1;1;0;30;7474.866666666667;10974.866666666667;11800;15930.000000000002
R29;Base de vidrio flor;RECIPIENTES;71;4000;;0;60;1;1;0;30;5887.2;9387.2;10100;13635
R30;cuenco yeso flor;RECIPIENTES;72;600;;0;34;1;1;0;30;1723.2333333333336;5223.233333333334;5600;7560.000000000001
R31;bombonera vidrio yesink;RECIPIENTES;73;3100;;0;60;1;1;0;30;4987.2;8487.2;9100;12285
R32;Cuenco ceramico negro 7 cm;RECIPIENTES;74;2600;;0;50;1;1;0;30;4193.366666666667;7693.366666666667;8300;11205
R33;Vaso vidrio Tijuana;RECIPIENTES;75;1000;;0;30;1;1;0;30;2005.7;5505.7;5900;7965.000000000001
R34;Bombonera vidrio yesink grande;RECIPIENTES;76;3900;;0;70;1;1;0;30;6081.033333333333;9581.033333333333;10300;13905.000000000002
R35;Vaso doble de vidrio;RECIPIENTES;77;3400;;0;90;1;1;0;30;6168.7;9668.7;10400;14040.000000000002
R36;Bombonera vidrio piramidal;RECIPIENTES;78;2500;;0;40;1.5;1;0;30;3861.6333333333337;7361.633333333333;7900;10665
R37;Vaso Tennesse 80 g;RECIPIENTES;79;1250;;0;80;1.5;1;0;30;3786.9666666666667;7286.966666666667;7800;10530
R38;Vaso Tennesse 100 g;RECIPIENTES;80;1250;R37;0;100;1.5;1;0;30;4374.633333333333;7874.633333333333;8500;11475
R39;Bombonera mini;RECIPIENTES;81;3000;;0;35;1;1;0;30;4152.616666666667;7652.616666666667;8200;11070
R40;Vaso Tennesse 170 g;RECIPIENTES;82;1250;R37;0;170;2;1;0;30;6493.566666666667;9993.566666666666;10700;14445.000000000002
